method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00384,container,16,0.8,0.8263333286520083,0.7450980392156863
prompt,00384,container,64,0.7,0.7411902110103873,0.6078431372549019
prompt,00384,container,256,0.0,0.0,0.0
prompt,00384,large-vehicle,0,0.9,0.9266360779006401,0.7424892703862661
prompt,00384,large-vehicle,16,0.9,0.9266360779006401,0.7424892703862661
prompt,00384,large-vehicle,64,0.9,0.9266360779006401,0.6909871244635193
prompt,00384,large-vehicle,256,0.6,0.6898286563534621,0.26180257510729615
prompt,00384,small-vehicle,0,0.8,0.841492960259019,0.28442437923250563
prompt,00384,small-vehicle,16,0.7,0.7467045958894682,0.2076749435665914
prompt,00384,small-vehicle,64,0.1,0.07839826897867533,0.002257336343115124
prompt,00384,small-vehicle,256,0.0,0.0,0.0
prompt,00384,swimming-pool,0,0.1,0.10778915452451093,1.0
prompt,00384,swimming-pool,16,0.1,0.10778915452451093,1.0
prompt,00384,swimming-pool,64,0.1,0.13905617951077562,1.0
prompt,00384,swimming-pool,256,0.0,0.0,0.0
prompt,00392,windmill,0,0.8,0.835780413693672,0.39473684210526316
prompt,00392,windmill,16,0.8,0.835780413693672,0.39473684210526316
prompt,00392,windmill,64,0.7,0.6969179698201173,0.2631578947368421
prompt,00392,windmill,256,0.1,0.22009176629808017,0.02631578947368421
prompt,00406,windmill,0,0.6,0.5469356251448461,0.8333333333333334
prompt,00406,windmill,16,0.6,0.5469356251448461,0.8333333333333334
prompt,00406,windmill,64,0.2,0.20483424751859086,0.2222222222222222
prompt,00406,windmill,256,0.0,0.0,0.0
prompt,00417,windmill,0,0.5,0.40807318127129166,0.27184466019417475
prompt,00417,windmill,16,0.5,0.40807318127129166,0.27184466019417475
prompt,00417,windmill,64,0.4,0.2980272981222516,0.11650485436893204
prompt,00417,windmill,256,0.0,0.0,0.0
prompt,00423,windmill,0,1.0,1.0,0.18290854572713644
prompt,00423,windmill,16,1.0,1.0,0.14842578710644677
prompt,00423,windmill,64,0.9,0.9216017310213247,0.07646176911544228
prompt,00423,windmill,256,0.3,0.9060254355346823,0.004497751124437781
prompt,00448,airplane,0,0.1,0.11752277470724268,0.2857142857142857
prompt,00448,airplane,16,0.0,0.0,0.0
prompt,00448,airplane,64,0.0,0.0,0.0
prompt,00448,airplane,256,0.0,0.0,0.0
prompt,00448,large-vehicle,0,0.0,0.0,0.0
prompt,00448,large-vehicle,16,0.0,0.0,0.0
prompt,00448,large-vehicle,64,0.0,0.0,0.0
prompt,00448,large-vehicle,256,0.0,0.0,0.0
prompt,00448,small-vehicle,0,0.0,0.0,0.0
prompt,00448,small-vehicle,16,0.0,0.0,0.0
prompt,00448,small-vehicle,64,0.0,0.0,0.0
prompt,00448,small-vehicle,256,0.0,0.0,0.0
prompt,00459,airplane,0,0.3,0.36211082347570717,0.4666666666666667
prompt,00459,airplane,16,0.3,0.36211082347570717,0.43333333333333335
prompt,00459,airplane,64,0.2,0.2984900352767555,0.3
prompt,00459,airplane,256,0.2,0.4599715079731103,0.06666666666666667
prompt,00459,large-vehicle,0,0.0,0.0,0.0
prompt,00459,large-vehicle,16,0.0,0.0,0.0
prompt,00459,large-vehicle,64,0.0,0.0,0.0
prompt,00459,large-vehicle,256,0.0,0.0,0.0
prompt,00459,small-vehicle,0,0.0,0.0,0.0
prompt,00459,small-vehicle,16,0.0,0.0,0.0
prompt,00459,small-vehicle,64,0.0,0.0,0.0
prompt,00459,small-vehicle,256,0.0,0.0,0.0
prompt,00462,windmill,0,0.8,0.8643145546088337,0.5
prompt,00462,windmill,16,0.8,0.8643145546088337,0.5
prompt,00462,windmill,64,0.8,0.8643145546088337,0.35
prompt,00462,windmill,256,0.4,0.5541432109622958,0.2
prompt,00468,windmill,0,0.5,0.5517854393872873,0.25925925925925924
